iteration,seed,final_objective_value,n_iter_opt,x0,x1,x2,x3
0,0,9.601987831774633e-11,155,999999.9999924235,2.000006214183643e-06,0.15332318360625546,0.8694519668564922
1,1,2.6020864090128403e-11,115,999999.9999960709,1.9999967468903046e-06,0.3323780195347794,0.9037225125224261
2,2,1.0286587624308666e-11,118,999999.9999987046,1.999997065952917e-06,0.9573764351779247,0.9809610311727095
3,3,4.295834185106477e-11,184,999999.9999961803,1.9999946738260904e-06,0.40787158339785706,0.4577809520334139
4,4,1000000000004.02,501,1.0025459920792817e-08,0.0004090576282307601,-0.7633464002753517,-0.44943287758946565
5,5,5.440241980395253e-11,240,999999.9999926393,2.000000471605653e-06,0.992001973688372,0.9013546491909181
6,6,8.011422489977962e-11,146,1000000.0000065177,2.0000061345798545e-06,0.6027315049243177,0.6245216983467382
7,7,5.1824673567333247e-11,120,1000000.0000012998,2.0000070806225944e-06,0.10281582418789462,0.11379456352144776
8,8,1.0770891745672381e-11,152,999999.9999967947,1.9999992948961436e-06,0.9317890861896498,0.15418705703639984
9,9,1000000000004.02,501,1.0050915851969635e-08,1.0000045399282174e-08,-0.6991560183030909,-0.9399320665919535
10,10,4.040100000004039,501,999999.9999999877,1.000000000000007e-08,0.16569413404378266,-0.9017794526992149
11,11,1000000000004.02,501,1.0024843542474899e-08,0.00022319421136933072,-0.6193099189374074,-0.9920466469356843
12,12,6.147263222719494e-11,160,999999.999992236,2.000001092440389e-06,0.6404894994964465,0.05393583209875708
13,13,9.967288029978087e-12,134,1000000.0000031204,1.999999519978086e-06,0.9715665660937739,0.7106316417393931
14,14,7.009348652259152e-11,161,1000000.0000073286,1.9999959520919772e-06,0.5714060674380058,0.09378574819095215
15,15,1000000000004.02,501,1.0057253199436885e-08,0.00014438580183761908,-0.9810125486535377,0.9999622559960448
16,16,7.620707627795017e-11,131,999999.9999941905,1.999993484101062e-06,0.9757314031054717,0.10846494958989611
17,17,5.1434225964498914e-11,122,1000000.0000001584,1.9999928299841786e-06,0.5685594687901684,0.19646735652027686
18,18,6.984768509967862e-11,144,1000000.0000061091,2.0000057031670975e-06,0.8903625525387369,0.8064055661583127
19,19,1.339026368931458e-11,195,1000000.0000033125,2.000001554898374e-06,0.5784846472541387,0.9995524864322499
20,20,4.040100000004039,501,999999.9999999776,1e-08,0.5411398502502485,-0.9164538998035128
21,21,1000000000004.02,501,1.004140158592831e-08,0.002558004818503071,-0.7090380573238643,0.8691650011383086
22,22,2.0619834744773387e-11,241,1000000.0000041235,2.0000019016210386e-06,0.6071336845940537,0.33670100743947884
23,23,4.040100000004039,501,999999.9999999752,1e-08,0.17963751043782988,-0.9968255361460775
24,24,4.040100000004039,501,999999.999999988,1.0000000000000002e-08,0.10619692211857003,-0.5376639505397963
25,25,9.499930249783863e-11,213,999999.9999945859,2.0000081047333587e-06,0.9746886029183713,0.160376545040814
26,26,5.551691061007938e-11,195,999999.9999940534,1.9999955106101982e-06,0.1503050089510821,0.8047685316860156
27,27,1.0352485555758423e-11,117,999999.999997341,2.000001811628693e-06,0.5392211215401101,0.9999155261717424
28,28,4.040100000004039,501,999999.9999999786,1.0000000000000045e-08,0.5048109178777953,-0.8976438856769583
29,29,2.9412066028885666e-11,120,1000000.0000008662,2.000005353658995e-06,0.9845304643695412,0.8668320394210685
30,30,1.5350627559918024e-12,134,1000000.0000012129,1.999999747291089e-06,0.9581450276593163,0.9367651028562849
31,31,2.9084536457426917e-11,134,999999.99999986,1.9999946088108827e-06,0.9268859212384153,0.1888233846821914
32,32,5.1285693393427055e-11,128,1000000.000004492,2.000005577411114e-06,0.017889587253051828,0.6584766255494319
33,33,2.7276696126886657e-11,111,999999.9999948627,1.9999990593032335e-06,0.27704244468919714,0.27755223309933874
34,34,1000000000004.02,501,1.0000101894779757e-08,0.0015095170876337158,-0.9671728467740017,-0.01944917790435251
35,35,4.06955418292128e-12,134,1000000.0000011211,1.999998322876764e-06,0.32304079453842044,0.9985838767334498
36,36,4.040100000004039,501,999999.9999999887,1.0000000000000093e-08,0.9227808534950778,-0.9227087748626249
37,37,2.055868700766471e-11,131,999999.9999958379,2.000001798833553e-06,0.5324735452199958,0.9883919092727608
38,38,1000000000004.02,501,1.0067144619987542e-08,0.0008998501713940856,-0.8492669108495082,-0.11710193219170384
39,39,6.240328414348105e-11,149,999999.9999946866,1.9999941544340282e-06,0.3763967930095054,0.3423032563971192
40,40,5.311958275261423e-11,170,999999.9999952862,2.0000055587798653e-06,0.03858266490552459,0.9430772661732123
41,41,2.311783939874732e-11,418,1000000.000000222,1.999995197026142e-06,0.9978759602514784,0.5323007187953558
42,42,40.75995188040231,501,1000006.0596907212,1e-08,0.9980604660132184,-0.997171483803954
43,43,2.0512868263476377e-11,109,1000000.0000023548,1.999996131202993e-06,0.7688584121646551,0.09076553518907844
44,44,1000000000004.02,501,1.0000234744893567e-08,0.006382700284007093,-0.9308540392636447,0.009907057822017899
45,45,1.4828826035786447e-11,120,1000000.0000013196,1.9999963823230814e-06,0.20948800251733174,0.8608156470783443
46,46,4.4842718326733895e-11,112,999999.999993355,1.99999917123599e-06,0.279019582429602,0.6334509764571097
47,47,5.830951366349641e-11,130,999999.9999925657,2.0000017438491755e-06,0.5273986562358326,0.05148910186235183
48,48,1.4502999043007338e-11,138,999999.9999962866,1.9999991552937878e-06,0.0884007525073907,0.9985338255167898
49,49,4.040100000004039,501,999999.9999999886,1.0000000000000035e-08,0.9973943221620541,-0.8255084002207983
50,50,7.195146656978456e-12,143,1000000.0000026298,1.999999471617722e-06,0.8152010320614805,0.8444932641030074
51,51,1.3409746138927856e-11,128,999999.9999973375,1.999997485914149e-06,0.15058635535203743,0.12712003719212103
52,52,4.393336427944243e-11,110,1000000.0000053922,2.0000038544798604e-06,0.9689685606775845,0.9982304960151476
53,53,1000000000004.02,501,1.0012263255744552e-08,0.005022699004528417,-0.8156909462738013,0.6996851796905044
54,54,9.420112355551132e-11,123,1000000.0000096248,1.999998748881071e-06,0.825266327090497,0.9612470708575797
55,55,6.975094451382016e-11,329,1000000.0000075425,1.999996413774714e-06,0.49113617735761594,0.7647725285916496
56,56,4.040100000004039,501,999999.999999983,1.0000000000000076e-08,0.9986942904142398,-0.9992189508861503
57,57,4.8433094324117505e-11,114,999999.999997651,2.0000065509710442e-06,0.447110035795681,0.18346938919429082
58,58,1000000000004.02,501,1.0006963610603085e-08,0.0003023163198269365,-0.7274333086832985,0.4289693916721244
59,59,9.261617258172569e-11,148,999999.9999906399,1.9999977630719664e-06,0.8698380813687705,0.2538801935548566
60,60,4.358571966233743e-11,145,1000000.0000026124,1.9999939368853565e-06,0.7419208252166327,0.9538178919858032
61,61,7.926495376426532e-11,153,1000000.0000017006,2.000008739157333e-06,0.07820503495834281,0.06836228448078957
62,62,7.311853937408727e-11,145,999999.9999965942,2.0000078433956157e-06,0.27636785720660456,0.07208522922804264
63,63,6.354438042716613e-11,178,1000000.0000066264,1.9999955687643417e-06,0.5218957452183294,0.6228630268121036
