iteration,seed,final_objective_value,n_iter_opt,x0,x1,x2,x3
0,0,3.742447627322433e-11,102,999999.9999988466,2.00000600783432e-06,0.2959677716648467,0.4781198346670448
1,1,2.306609472153218e-11,108,1000000.0000044297,2.0000018557068147e-06,0.1510560850524403,0.35192555462635267
2,2,9.807853227415774e-11,134,1000000.0000097286,2.0000018528053173e-06,0.6820540596533956,0.28326525868518937
3,3,7.53712731833573e-12,153,999999.999997507,2.0000011497476575e-06,0.18527815273667478,0.9129129238209333
4,4,7.112313288119701e-11,124,999999.9999926867,2.0000041998220103e-06,0.26153429411020745,0.08532170333996661
5,5,2.391818985792986e-11,118,1000000.0000021331,1.99999559906761e-06,0.3244660293075403,0.5180793556859035
6,6,4.040100000004039,501,1000000.0,1e-08,0.12648296638678042,-0.9708324733887986
7,7,4.286760995418945e-11,119,1000000.0000045013,2.000004754544049e-06,0.9817315207765867,0.5067515386154364
8,8,8.202867696911222e-11,116,999999.9999937952,1.9999934023701957e-06,0.16681779179618864,0.6345425653439607
9,9,2.5799268993839594e-11,105,1000000.0000026831,1.999995687219782e-06,0.2938348602789647,0.09511753444759555
10,10,2.9993459553340536e-11,106,999999.9999963208,1.9999959432818635e-06,0.9997119121759521,0.2742809388162147
11,11,6.998569933254744e-11,117,999999.9999954844,2.000007042363016e-06,0.9770899981089992,0.7850925126903663
12,12,4.040100000004039,501,1000000.0,1e-08,0.8907152442795596,-0.8177959422069208
13,13,3.890474674426628e-11,108,1000000.0000060719,2.0000014272557338e-06,0.11072060890203873,0.8436042859726082
14,14,6.101835425659888e-11,105,999999.9999932409,1.999996084240475e-06,0.9712465137017273,0.18711058495782332
15,15,6.2608938545353224e-12,95,999999.9999999509,2.0000025016955966e-06,0.9657948866467879,0.1910169840191739
16,16,5.625872643484396e-11,117,1000000.0000047057,1.9999941592084336e-06,0.17520063016095247,0.7196208420550045
17,17,2.013875058360072e-11,127,999999.9999998037,1.9999955166728086e-06,0.7803456969801655,0.05550587836441699
18,18,2.9262879004917193e-11,116,999999.9999983455,1.9999948497094555e-06,0.9770079706184023,0.05483106147652006
19,19,3.944733145502532e-12,101,999999.9999990654,1.999998247492454e-06,0.6768063567436121,0.2778139138535755
20,20,1.0983023358528784e-11,111,1000000.0000021474,2.000002524220214e-06,0.6289776203221357,0.20503593587929558
21,21,1.9667102558447502e-11,94,999999.9999966583,1.9999970845081752e-06,0.4615114898124992,0.2813406877423227
22,22,7.006447799155831e-11,112,1000000.0000077448,2.0000031753801976e-06,0.10196360195801625,0.3361791700423584
23,23,1.8111205172184576e-11,115,999999.99999719,2.0000031960843887e-06,0.357248689147896,0.7248961750204893
24,24,2.9522734679390204e-11,124,999999.9999945927,1.999999466825845e-06,0.20912802228230465,0.9606912744819166
25,25,2.953984363482734e-11,116,999999.9999977034,2.000004925984861e-06,0.4933054675816957,0.2239530505381178
26,26,9.213925712192571e-11,117,1000000.0000009572,2.000009551075977e-06,0.1785082456443925,0.2893938227085292
27,27,3.1454861352335126e-11,141,1000000.000000589,1.999994422543757e-06,0.7341583609623243,0.8672279968365804
28,28,4.956081895873795e-11,116,999999.9999998343,2.000007037995504e-06,0.5062962405178844,0.021899474961025775
29,29,3.743184266998096e-11,157,999999.9999955826,1.9999957669718606e-06,0.9418094007286717,0.11577203168276655
30,30,4.040100000004039,501,999999.9999999878,1.0000000000000042e-08,0.28119926115783883,-0.9752036239517505
31,31,2.117022405445359e-11,105,1000000.0000001105,2.000004599784408e-06,0.8728986932449575,0.17516208405244163
32,32,7.085449232045008e-11,120,1000000.000006894,2.000004829817564e-06,0.111616318600203,0.2951709007756746
33,33,8.284849215742144e-11,111,999999.9999911999,1.9999976746546562e-06,0.2800843593452029,0.5110655929201237
34,34,9.802016524694035e-11,108,1000000.0000044379,1.99999114982228e-06,0.8950564191868188,0.13201975589447953
35,35,2.952855139659954e-11,111,1000000.0000010185,2.0000053377103185e-06,0.901511180771216,0.2633460453191139
36,36,1.9015323607115664e-11,101,1000000.0000036525,2.0000023820806298e-06,0.4937877354115551,0.11327943707179665
