iteration,seed,final_objective_value,n_iter_opt,x0,x1
0,0,1.1068919734576099e-08,501,5.213624501864771e-06,-19.180514571140876
1,1,1.0893759950701722e-08,501,22.866130520018867,-4.373280681664332e-06
2,2,1.065841502738958e-08,501,30.868646401700037,-3.239533437476238e-06
3,3,1.0716262344527806e-08,501,28.41452350906047,-3.51932740248572e-06
4,4,6.923296536257589e-09,501,10.546839160446556,-9.481509307745017e-06
5,5,1.042630344030666e-08,501,47.549065269073864,-2.103093126746422e-06
6,6,2.4001427377918373e-11,232,9.062837909206667,-1.1034064484425108e-05
7,7,1.0231241269149568e-08,501,1.149599118208538e-06,-86.98684482155821
8,8,1.066490346482271e-08,501,3.2704714846780636e-06,-30.576620728928017
9,9,1.0316913112815489e-08,501,63.66299423511006,-1.570772082015813e-06
10,10,1.0506204845454616e-08,501,40.00351619776948,-2.4997803140442017e-06
11,11,8.197436227444058e-09,501,10.887334114820225,-9.184957793973142e-06
12,12,2.721507809885939e-11,73,9.154650146062334,-1.0923415375352556e-05
13,13,1.0557672988935117e-08,501,36.35803485911758,-2.750424106132502e-06
14,14,1.0478315149735995e-08,501,42.307552907890695,-2.36364417187775e-06
15,15,1.0456243296907158e-08,501,44.33169991665779,-2.2557219694384707e-06
16,16,1.027997629245984e-08,501,1.390189567639955e-06,-71.93264144687248
17,17,5.1507276942560365e-12,340,9.086626448347973,-1.1005176915661405e-05
18,18,7.484568531856643e-09,501,9.358234671885108e-06,-10.685754460857119
19,19,1.0367124088313171e-08,501,54.97293643800972,-1.819076921943136e-06
20,20,6.4525091588399616e-09,501,10.433725258366332,-9.58425495299495e-06
21,21,1.045635506281378e-08,501,2.256305728985722e-06,-44.320237568002675
22,22,1.0223924715453913e-08,501,8.465689462838609e-06,-11.812345755698264
23,23,3.97238639560456e-12,159,1.0986891207762955e-05,-9.101738134383073
24,24,1.0299060390751467e-08,501,67.37241358439049,-1.484287049571473e-06
25,25,1.120150772553271e-08,501,5.878084234419613e-06,-17.01234551708067
26,26,1.0346523189721533e-08,501,58.212077385989375,-1.7178566348133008e-06
27,27,1.0225190256037342e-08,501,89.31290345533357,-1.1196589640789349e-06
28,28,1.0361037970969873e-08,501,1.7891855530823023e-06,-55.89135231969845
29,29,1.774643548532063e-10,501,8.991667241497725,-1.1121406749520976e-05
30,30,1.0287846964231797e-08,501,1.391443869362419e-06,-71.86799143426556
31,31,1.4256394407337487e-09,501,1.0536953105372704e-05,-9.490273999813564
32,32,1.0795463265311968e-08,501,25.63302810784734,-3.901216571093832e-06
33,33,1.0299575336523331e-08,501,67.26287935544833,-1.4867038893894248e-06
34,34,6.788587575426937e-10,501,1.0667356857264262e-05,-9.374358991192622
35,35,1.0785565414883979e-08,501,3.8513361424665135e-06,-25.96499705237947
36,36,8.78786480073697e-12,280,1.099230711339163e-05,-9.097245850759125
37,37,1.0990500705984257e-08,501,4.836627888882986e-06,-20.675563435157677
38,38,1.0379285313469855e-08,501,1.8787793069925564e-06,-53.22604929030668
39,39,1.060562439770661e-08,501,2.9836167311450827e-06,-33.51636923373687
40,40,1.0243577106650143e-08,501,82.60951045360855,-1.2105144909316676e-06
41,41,1.1021339236952752e-08,501,20.06221214612982,-4.984494863919946e-06
42,42,1.098330207982539e-09,501,9.465567668042127,-1.0564587406879266e-05
43,43,1.0821035367253474e-08,501,24.849475158559144,-4.024229846688967e-06
44,44,1.0417060759393908e-08,501,48.457799045238254,-2.0636518544731436e-06
45,45,3.0974992116811726e-10,501,1.1043642799819285e-05,-9.054832677299096
46,46,1.0894331337482622e-08,501,22.851699256260787,-4.376042183766335e-06
47,47,1.0434386887036791e-08,501,46.53695048636759,-2.148830233870099e-06
48,48,1.0249163703159538e-08,501,80.76538743290935,-1.2381541561045963e-06
49,49,1.0202539185065968e-08,501,99.24377313467525,-1.0076198888327274e-06
50,50,1.0230945996210037e-08,501,87.10807418115026,-1.1479990124938017e-06
51,51,1.050319054150801e-08,501,2.4850776963441983e-06,-40.24019033983816
52,52,1.4416616374828717e-10,501,9.222005370866226,-1.0843625268745315e-05
53,53,1.0295138316615818e-08,501,68.2611521185448,-1.4649620911094315e-06
54,54,3.919235925273824e-09,501,8.662516680810233,-1.1544130099494195e-05
55,55,1.0479274928850535e-08,501,42.223809881392015,-2.3683320214766698e-06
56,56,1.0806346871595604e-08,501,25.293546643644582,-3.953577359990481e-06
57,57,1.11866184261672e-08,501,13.23341229067372,-7.556629938263248e-06
58,58,9.72496849487598e-09,501,11.50431686161195,-8.692377412951412e-06
59,59,1.0753796530911655e-08,501,3.7003038733759674e-06,-27.02481328765962
60,60,1.0721443667906368e-08,501,28.213545097527835,-3.5443966424468003e-06
61,61,1.0429921363832478e-08,501,2.126629683633754e-06,-47.022774040093765
62,62,1.0948749825251457e-08,501,4.636711037313226e-06,-21.56701083853226
63,63,1.0523947167750005e-08,501,2.553966676813045e-06,-39.15487951735383
64,64,1.1309806004868086e-08,501,14.130743438814134,-7.076770673678296e-06
65,65,5.136427674558161e-09,501,10.173589292836402,-9.829364590767607e-06
66,66,1.0307236316174314e-08,501,1.5245584305352352e-06,-65.59276153213254
67,67,1.0236554995385551e-08,501,85.04400561996059,-1.1758618417296073e-06
68,68,1.0760041765082885e-08,501,3.7306298718769522e-06,-26.805124708258308
69,69,1.038921315700759e-08,501,1.9274898406322696e-06,-51.88094692891984
70,70,1.0962967432440953e-08,501,12.652576195287986,-7.903528790072007e-06
71,71,1.0944490542357725e-08,501,21.663100042096143,-4.6161453784577525e-06
72,72,1.020743997272321e-08,501,1.031876552005535e-06,-96.9108173725547
73,73,1.0381572691289382e-08,501,1.8900043524261137e-06,-52.90993062796846
74,74,3.242746215373805e-09,501,1.0229670654886865e-05,-9.77567878262256
75,75,1.0523163047890234e-08,501,38.72262219401977,-2.58246967246962e-06
76,76,1.025498141718177e-08,501,78.9338960156461,-1.2668828556872515e-06
77,77,1.0621259181406399e-08,501,12.148179588466771,-8.231644093609314e-06
78,78,1.0493010895446796e-08,501,41.06118668024859,-2.4353900350805193e-06
79,79,1.0976612501139455e-08,501,20.96424665721876,-4.770026614961334e-06
80,80,1.115113278211045e-08,501,5.6172946150395785e-06,-17.802167726744486
81,81,2.6599450669834736e-09,501,8.725216443269442,-1.1460943989869809e-05
82,82,1.1107289617818982e-08,501,18.52537700063204,-5.39800443492882e-06
