iteration,seed,final_objective_value,n_iter_opt,x0,x1
0,0,3.8450100849184567e-11,113,999999.9999999674,-2.00000620072892e-06
1,1,8.096647629218334e-11,107,1000000.0000079678,-2.0000041809430927e-06
2,2,4.5209288985739744e-11,110,1000000.0000021147,-2.0000063825813915e-06
3,3,7.58610375134983e-11,116,1000000.0000050924,-1.999992933947517e-06
4,4,4.487008259447514e-12,111,999999.9999981185,-2.0000009731169807e-06
5,5,7.742537291966073e-11,107,1000000.0000087898,-2.0000004054377877e-06
6,6,9.589997424179248e-11,103,999999.999990617,-1.999997196438273e-06
7,7,4.594570245928705e-11,120,1000000.000006659,-2.000001266478691e-06
8,8,9.64379992861337e-11,111,999999.9999996483,-1.9999901860151243e-06
9,9,1.1572185850830756e-11,112,1000000.0000001717,-2.0000033974546795e-06
10,10,1.8860724008840526e-11,109,999999.9999958404,-1.9999987517481356e-06
11,11,8.779214895531276e-11,120,999999.9999924577,-1.999994440732733e-06
12,12,5.914330462372923e-12,113,1000000.000002225,-2.000000981576191e-06
13,13,6.441433044209297e-12,113,999999.9999976277,-2.0000009019867465e-06
14,14,8.19370956703322e-11,115,1000000.0000088185,-1.999997957472188e-06
15,15,8.784175303991295e-11,119,999999.9999998854,-1.9999906283071738e-06
16,16,1.7132214647089504e-11,112,1000000.0000019429,-2.0000036547913077e-06
17,17,3.438053477615271e-11,113,1000000.0000043397,-2.0000039429946323e-06
18,18,5.3988081744125976e-11,110,1000000.0000072274,-2.000001323840289e-06
19,19,2.34010949000186e-11,116,1000000.0000026545,-1.999995955898607e-06
20,20,7.601440907162589e-11,114,999999.9999923472,-2.0000041772336262e-06
21,21,4.939056913069598e-11,113,1000000.0000023969,-2.0000066064737743e-06
22,22,2.6342429571089566e-11,118,999999.999995014,-1.9999987823425155e-06
23,23,6.654242020908587e-11,110,999999.999991881,-2.000000789732842e-06
24,24,8.852176028891442e-11,114,999999.9999914065,-2.000003830516311e-06
25,25,8.948832717025292e-12,108,999999.9999977546,-1.9999980234095765e-06
26,26,5.839160143408642e-11,104,1000000.0000074523,-2.0000016894898455e-06
27,27,4.4336593117118936e-11,108,999999.9999953413,-1.999995242590938e-06
28,28,8.523938055021558e-12,112,999999.9999971084,-1.999999597072624e-06
29,29,6.016032206926308e-11,108,999999.9999993169,-1.999992273834001e-06
30,30,1.0668099243847007e-11,124,999999.9999995747,-2.000003238403046e-06
31,31,7.571814040578548e-11,113,1000000.0000059144,-2.0000063826552282e-06
32,32,5.61935927536562e-11,109,999999.9999940243,-1.9999954740397498e-06
33,33,8.434793667399428e-11,112,999999.9999928708,-2.000005789923101e-06
34,34,9.573373137148974e-11,129,999999.9999996483,-2.0000097780396187e-06
35,35,2.4473906741649594e-11,122,999999.9999960447,-2.0000029714209193e-06
36,36,1.2900487850855943e-12,109,1000000.0000008917,-1.999999296545217e-06
