iteration,seed,final_objective_value,n_iter_opt,x0,x1
0,0,4.040100000004039,501,999999.9999999898,-1.0000000000000061e-08
1,1,4.1472541517513175e-11,110,999999.9999940058,1.999997645907251e-06
2,2,4.2567494716017635e-11,101,1000000.0000000614,1.999993475911375e-06
3,3,2.2230942356779202e-12,110,999999.9999991717,1.9999987602349026e-06
4,4,2.695696389577268e-11,115,1000000.0000015564,1.999995046743559e-06
5,5,3.2344241249263065e-11,103,1000000.0000046465,2.000003279384067e-06
6,6,3.380701581614715e-11,116,999999.9999979979,1.9999945411974916e-06
7,7,7.468494670908238e-11,115,999999.9999924883,2.000004273108778e-06
8,8,9.715676185630816e-11,108,999999.9999913308,1.9999953094467355e-06
9,9,2.2636430409689968e-11,108,1000000.0000019367,1.999995654230316e-06
10,10,3.818555332247531e-11,108,999999.9999964681,2.000005070614819e-06
11,11,2.454317464669403e-11,110,999999.9999996544,1.999995057965721e-06
12,12,2.25721345290496e-11,92,999999.9999962513,2.0000029188188095e-06
13,13,8.3154891809081e-11,94,999999.9999954292,2.0000078906709674e-06
14,14,7.886090766371876e-11,123,999999.9999977566,1.9999914076889594e-06
15,15,6.985666759624967e-11,124,1000000.0000023437,1.9999919772860912e-06
16,16,8.399362175904831e-12,107,1000000.0000025175,1.9999985641502986e-06
17,17,3.2394830468336697e-12,97,999999.9999998078,2.0000017895650116e-06
18,18,4.58217398316548e-12,110,999999.9999989877,1.999998113914476e-06
19,19,7.061342953259732e-11,116,1000000.0000016259,2.000008244390028e-06
20,20,4.040100000004039,501,999999.9999999857,-1.0000000000000042e-08
21,21,5.83827468244117e-11,111,999999.9999977279,1.999992704772599e-06
22,22,3.802293308480068e-11,102,999999.9999976952,1.9999942806625457e-06
23,23,4.040100000004039,501,999999.9999999795,-1e-08
24,24,7.256112250100078e-11,108,1000000.0000026934,1.9999919187323134e-06
25,25,1.791911421769015e-11,110,999999.9999996851,2.000004221368896e-06
26,26,5.6612847273597595e-11,103,999999.9999995603,1.999992488708674e-06
27,27,1.8095417826725465e-12,118,1000000.0000008773,1.9999989802550416e-06
28,28,3.7214793637806944e-11,98,999999.9999941203,1.999998373897391e-06
29,29,9.692317394672357e-11,117,1000000.0000077633,2.0000060543035474e-06
30,30,1.6180731346892447e-11,122,999999.9999960264,1.9999993745471824e-06
31,31,1.082298018524154e-11,111,999999.9999976686,1.9999976789439756e-06
32,32,4.244680596695543e-11,96,1000000.0000059534,1.999997353429336e-06
33,33,4.388114690829223e-11,100,999999.9999979855,1.9999936894465915e-06
34,34,4.040100000004039,501,999999.9999999979,-1.000000000000002e-08
35,35,4.040100000004039,501,999999.9999999775,-1.0000000000000204e-08
36,36,7.55845762500523e-11,100,1000000.0000022782,1.999991609872501e-06
37,37,6.856794816587046e-11,103,1000000.0000040779,1.999992793149306e-06
38,38,2.851398233528217e-11,108,1000000.0000009551,1.9999947462545534e-06
39,39,5.01839227206985e-11,313,1000000.0000009489,1.9999929797766623e-06
40,40,4.040100000004039,501,999999.9999999816,-1.0000000000000042e-08
41,41,5.7910974099685355e-11,117,999999.9999932982,2.000003605133063e-06
42,42,7.209076076991043e-11,115,1000000.0000034951,2.000007737872349e-06
43,43,7.660508233040252e-11,109,999999.999991427,2.0000017629050544e-06
44,44,8.553219283311328e-11,116,999999.9999931039,1.9999938375407013e-06
45,45,7.573278532516156e-11,105,999999.9999944803,1.999993272045534e-06
46,46,8.313310766183431e-11,110,999999.9999953024,1.999992185551907e-06
47,47,9.548807999500343e-11,126,1000000.0000093073,2.000002976969724e-06
48,48,1.0702243576890577e-11,105,1000000.00000145,2.000002932552361e-06
49,49,8.597392731291044e-11,110,1000000.0000087612,2.0000030356993862e-06
