iteration,seed,final_objective_value,n_iter_opt,x0,x1
0,0,4.0748712443595825e-12,109,999999.9999979917,2.0000002041603457e-06
1,1,2.58207317018635e-11,109,1000000.0000043602,2.0000026094391006e-06
2,2,2.6618477173927326e-11,113,999999.9999948586,1.9999995700916636e-06
3,3,5.5194875747228904e-11,117,999999.9999994397,1.9999925918345543e-06
4,4,8.052851621384484e-11,111,1000000.0000076324,2.0000047195886233e-06
5,5,5.244989012506623e-11,105,999999.9999933861,1.999997049391556e-06
6,6,3.485244055969223e-12,111,1000000.0000018611,1.9999998535972854e-06
7,7,7.023379814788088e-11,116,999999.9999976767,1.9999919479196635e-06
8,8,5.5906486196793355e-11,108,1000000.0000069452,1.9999972304406696e-06
9,9,9.769434353448819e-11,120,1000000.000007481,2.000006459822982e-06
10,10,9.956362190001348e-11,106,1000000.0000015215,2.0000098614630145e-06
11,11,1.9588007596096403e-11,100,1000000.0000001676,2.0000044226578105e-06
12,12,5.562599349194696e-12,107,1000000.0000002045,1.9999976503694e-06
13,13,2.2083599785134647e-11,111,999999.9999990921,2.0000046107799974e-06
14,14,7.836241698740016e-11,111,1000000.0000074852,2.0000047259619054e-06
15,15,3.026647759147955e-11,114,1000000.0000024174,1.9999950580493824e-06
16,16,2.0374530580208574e-11,113,999999.9999988425,1.999995637126691e-06
17,17,5.5238389590115956e-11,113,999999.9999966664,1.99999335728014e-06
18,18,7.958701121623033e-11,107,1000000.0000077224,2.0000044666823556e-06
19,19,3.7391272563009973e-11,120,999999.9999942697,2.0000021342101343e-06
20,20,8.177955580245273e-11,107,999999.9999928053,1.9999945213419453e-06
21,21,6.717780865245775e-11,104,999999.9999922205,2.000002580307396e-06
22,22,6.974876378222258e-12,117,999999.9999996605,1.9999973809095234e-06
23,23,2.115241602231931e-11,100,999999.999996008,2.000002283945282e-06
24,24,9.937605859493995e-12,118,999999.9999968505,2.0000001351168995e-06
25,25,1.0128626789454719e-11,123,999999.9999993251,1.9999968898259075e-06
26,26,6.621903941671516e-11,108,999999.9999946336,1.999993882754674e-06
