iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1,x2,x3,x4
0,0,PSO,0.0009402046355340653,501,-3.6815315617981685,0.05665580402669225,-4.7873329523256366e-05,-7.534692173679626e-10,1.8145709986103765e-11
1,1,PSO,0.00016208392255078442,501,4.4511574080754235,-1.0000126493410792e-05,7.087877550491573e-05,-8.518039818212188e-08,3.066665717131103e-11
2,2,PSO,3.970896676395748e-05,501,1.253584830813071,0.02097137838161108,3.075384724552747e-05,-6.147033250043313e-08,2.983945929945773e-11
3,3,PSO,0.0026131318480659997,501,6.968411642362611,-0.006687411548807528,3.95059745199917e-05,7.4290818295580554e-09,-2.7739752529410974e-11
4,4,PSO,4.178882346626678e-05,501,0.2516695214013822,0.03532763327512747,-2.870901933185146e-05,2.9016134704695353e-08,-1.5264194866453033e-11
5,5,PSO,2.193167487693258e-05,501,0.1174392580749532,0.03167702818613171,-3.727091890162761e-06,-1.6595092100303207e-08,9.692240511198819e-12
6,6,PSO,0.0007572002060458118,501,5.139772197995523,-4.039219232580633e-05,5.073377677365798e-05,-3.600795402331068e-08,-1.7715597397311953e-14
7,7,PSO,0.00038210844087137856,501,2.257065105188817,0.02008793358592745,5.348156748148065e-06,5.581328202459996e-09,-1.3424944662670347e-11
8,8,PSO,5.267429705819777e-05,501,-1.7789250565102495,0.05190057423121741,-7.487870261367947e-05,8.23663835847521e-08,-3.710163161280205e-11
9,9,PSO,0.0010861124188217975,501,6.131368204824761,-0.005485460563493507,6.088549640203421e-05,-4.313125624355456e-08,1.203481090175394e-12
10,10,PSO,0.00012938491954834138,501,-0.010079604195293669,0.029951466415816915,1.0271371753806795e-05,-4.204582899331627e-08,2.3096075726548077e-11
11,11,PSO,0.0003537634499812286,501,-0.7707018388768301,0.03322879049214223,1.09090059319133e-05,-5.5535080572195703e-08,3.386189477267038e-11
12,12,PSO,9.821422400903812e-06,37,0.010035529444604865,0.034172924853640596,-1.554950937957805e-05,2.0763002811679777e-09,4.086087417090511e-13
13,13,PSO,0.0002484421998863258,501,-2.3632909869383605,0.04971524479324331,-4.5646304392820624e-05,1.9868806940376016e-08,1.0000614095072353e-14
14,14,PSO,0.001747072829019437,501,6.180088552924409,-0.002646701680392566,3.872741979038511e-05,1.2858540327993274e-10,-2.3325486144291574e-11
15,15,PSO,0.0009191284550717292,501,-3.612478349369024,0.05486152708566565,-4.0132754833794226e-05,-9.748102382000378e-09,2.072963102559056e-11
16,16,PSO,0.00016408248326847292,501,-0.5734339074739478,0.034838529966547474,-2.629103636677235e-06,-3.052013238107089e-08,2.0474877170317683e-11
17,17,PSO,0.00025551036268647474,501,-0.9724139512300158,0.036800527092806345,-4.5967253549158584e-06,-3.245740877434965e-08,2.3068025799345088e-11
18,18,PSO,0.0023455443523480155,501,7.658142794211236,-0.012985064056083222,6.0802195389689954e-05,-1.747290065623504e-08,-1.8938692537342868e-11
19,19,PSO,9.80777155179958e-06,38,0.15134866595551164,0.03381750067499287,-1.7661893757936122e-05,8.960833829282113e-09,-4.5282285345010316e-12
20,20,PSO,0.00010229469037369347,501,1.3155672371982376,0.018498578713452347,4.2975620675324885e-05,-8.129985496161544e-08,4.012172915564685e-11
21,21,PSO,3.971832554064959e-05,501,-0.9258625252298722,0.044783999142420365,-5.454829387310474e-05,5.854378246372368e-08,-2.7257985064089716e-11
22,22,PSO,0.0010021380850906009,501,-4.757860171900736,0.06434529995436862,-6.73724712234569e-05,2.2563503995888294e-08,7.193625236026988e-12
23,23,PSO,0.0006361630809568877,501,3.298019220030696,0.013951188708976346,1.261672254662024e-05,5.98817558165051e-09,-1.6065214899526823e-11
24,24,PSO,8.92765982058645e-05,501,0.28987414129688227,0.02788538231539497,1.4134538529724617e-05,-4.5524869721534673e-08,2.4701150006527005e-11
25,25,PSO,0.0005588526664806418,501,3.055541171939901,0.018450450250877538,1.350930977122287e-07,1.4085907597323133e-08,-1.516227837664199e-11
26,26,PSO,0.00157231850630626,501,5.70345207331611,-1.0021632405143228e-05,3.3639630971195764e-05,3.732276944165774e-09,-2.372500211391223e-11
27,27,PSO,1.8095595358832345e-05,501,-0.9412025260516517,0.04334307297498236,-4.557991395224686e-05,4.2183930417140843e-08,-1.821090406032678e-11
28,28,PSO,0.00036524061044692355,501,3.0029555178657015,0.016475275244218695,1.0507226544218456e-05,7.975334986168585e-10,-1.0621319677723456e-11
29,29,PSO,0.0004560910738181176,501,-2.5548132177401217,0.04828688209443581,-3.211055490854365e-05,-3.843355544994443e-09,1.1597396497570445e-11
30,30,PSO,0.0003881786765880945,501,5.458506380975388,-0.006274148654431582,8.07068019045703e-05,-8.635444120780122e-08,2.6794777716434774e-11
31,31,PSO,2.4047831586362463e-05,501,3.120369548975515,0.0068132534170475025,6.567166906304211e-05,-9.554614937130297e-08,4.11662578864732e-11
32,32,PSO,0.00040179931430593815,501,2.686818612873162,0.01975195898743974,-5.844349246658733e-07,1.4513802397662689e-08,-1.5903002592950165e-11
33,33,PSO,0.0013997287446362555,501,4.528746121234269,0.006784443518155566,2.0760677344841004e-05,1.5298234415179698e-08,-2.8472711841493054e-11
34,34,PSO,0.0012389259668047954,501,5.22511295140296,0.0028177957942347636,3.108630887509253e-05,1.0739384795527378e-10,-1.983663495795852e-11
35,35,PSO,0.0012561618896206816,501,5.446344257802764,0.0018829132881437954,3.448632547909868e-05,-1.076177917159887e-08,-1.0507829087477915e-11
36,36,PSO,0.0016952095016260758,501,4.171352012422604,0.013223937080041253,-6.4075524649150495e-06,5.573114512485523e-08,-4.7889552261128145e-11
37,37,PSO,2.9213859769393e-05,501,-1.087335386807266,0.04548131734067022,-5.470516545508516e-05,5.6409869844980264e-08,-2.5422176113444965e-11
38,38,PSO,0.0012637523438239478,501,5.276968101432622,0.002502201224175267,3.0921398394459984e-05,2.9234733230800714e-11,-1.901247097981774e-11
39,39,PSO,5.436646906985002e-05,501,-0.8561374896459204,0.044764714045293814,-5.6697327816848925e-05,6.363140432772653e-08,-3.0370968647836266e-11
40,40,PSO,0.0011754173440233322,501,5.028523796618797,0.0037111166326600524,3.3397191690387514e-05,-1.5997292590690114e-08,-5.546929114281967e-12
41,41,PSO,5.1757368706472925e-05,501,-2.2444891800566316,0.05508640278292043,-8.13692508109023e-05,8.644611574375554e-08,-3.725490484643315e-11
42,42,PSO,9.429173754357076e-06,254,0.4822257230313808,0.03141237376938648,-1.0915148136684639e-05,1.0191567527940916e-11,1.0209423318250893e-14
43,43,PSO,0.0001499291501713552,501,4.738192614459347,-0.003013061212590068,8.155632509191066e-05,-9.985281535323474e-08,3.742950213551408e-11
44,44,PSO,1.893584180053006e-05,501,-0.3433929301271856,0.03886855518452869,-3.50385685253224e-05,3.238547399589666e-08,-1.515280468644208e-11
