iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1,x2,x3,x4
0,0,PSO,9.782888303691655e-06,260,0.11649293299961963,0.03293327995765875,-1.2146661702348825e-05,-1.7531493412385607e-11,-2.936787550850113e-14
1,1,PSO,1.0607814468709778e-05,501,0.7261553450343636,0.02970103419609841,-8.036560551420582e-06,-2.5079866408209845e-11,-1.5390215765059067e-12
2,2,PSO,9.092539824686799e-05,501,1.5937137755801725,0.024319159791018966,1e-08,1.0000004259204753e-11,-5.419463404880572e-12
3,3,PSO,9.395251669180075e-06,290,0.9894817290984221,0.027105840312469872,8.4238648766762e-08,-1.0097431826564907e-08,2.742313475461694e-12
4,4,PSO,0.0007959480455143733,501,5.203849120314692,-0.00014752174524901407,4.947156124505438e-05,-3.344151227214098e-08,-1.1452297296355004e-12
5,5,PSO,5.917603743284902e-06,105,0.35527141678086493,0.03184002899377968,-1.1249698700142262e-05,5.89473045513634e-11,1.307819259949342e-14
6,6,PSO,9.80360126924559e-06,248,1.0282164308395023,0.02652837376484882,2.5331472367336933e-06,-1.3427357834758205e-08,4.217322962012536e-12
7,7,PSO,4.452111453829358e-06,24,0.3510785404717927,0.03185226822514265,-1.1360666335306994e-05,5.829121281384584e-10,-4.505507373860213e-13
8,8,PSO,1.2764126918578947e-05,501,1.0750596553697833,0.026511916002639895,2.695261083476532e-06,-1.5421645127759045e-08,6.0809610839663735e-12
9,9,PSO,9.386752000672112e-06,39,0.31263025525793553,0.03225187598588561,-1.1384413473571645e-05,-1.3960917914978245e-09,1.3289645536000288e-12
10,10,PSO,9.971250665545946e-06,29,0.19852557654883843,0.03184606265044427,-6.697798266671738e-06,-1.0482657639249686e-08,6.268076818067806e-12
11,11,PSO,1.9155683436991637e-05,501,0.2960251600901863,0.030322719358174464,6.564008447163144e-08,-2.1061748924033976e-08,1.154603026296504e-11
12,12,PSO,3.4151593783928363e-05,501,1.063252466539276,0.02658872387360406,2.175047896797873e-08,-6.748569431972381e-09,-3.0651125201234553e-13
13,13,PSO,2.7302777341073418e-05,501,1.16145556160924,0.026644084700192985,-1.5359855655175545e-06,-5.092467428830689e-09,-3.4390663133417605e-13
14,14,PSO,3.73854952200619e-05,501,-0.010004552194764068,0.03206999286054368,-2.835457051527665e-06,-1.9640573856225673e-08,1.1613112365014927e-11
