iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1,x2,x3,x4
0,0,PSO,0.00029586089258478663,501,4.08497206272895,0.005115706823747818,5.012077285240941e-05,-5.232110017420209e-08,1.3216677265660743e-11
1,1,PSO,9.237905296361884e-06,231,0.994421440894526,0.02714671767135753,-1.2443111960003639e-07,-9.825187907599261e-09,2.6814505741937364e-12
2,2,PSO,0.00022273425129613962,501,3.900595359129178,0.006283912347013691,4.766749294519962e-05,-5.219597577349912e-08,1.4995939767133932e-11
3,3,PSO,7.607808448632646e-05,501,1.3901154216881233,0.025293476984084583,-1.276524502120479e-06,-1.3707409819973128e-11,-4.833181398767922e-12
4,4,PSO,8.875502580403186e-06,31,0.1767524217963338,0.03272436487013663,-1.2013996333122125e-05,-1.065074378463766e-10,1.0105035407846272e-14
5,5,PSO,5.012377461537844e-06,24,0.3551596051443094,0.03154056366589394,-9.956881185929283e-06,-9.61873716223193e-10,-6.741739605960911e-14
6,6,PSO,8.364916725215924e-06,71,0.3653456414790719,0.03098691548039756,-7.1713739999074136e-06,-5.3464415013052725e-09,1.9704729925146046e-12
7,7,PSO,9.999137360928491e-06,408,0.9044739296630548,0.028033761606306547,-2.942123391091146e-06,-6.15943670524405e-09,9.896584860991335e-13
8,8,PSO,4.7025280458532325e-05,501,1.2940678676360642,0.02610940592862087,-2.1685294732696874e-06,-1.4862145258230767e-09,-3.0704653032589725e-12
9,9,PSO,0.00023140058678397968,501,3.8053041789134614,0.006108700746910869,4.915553041758749e-05,-5.295055345322488e-08,1.4331477485282021e-11
10,10,PSO,2.53530800815517e-05,501,1.1693077966285206,0.02628506444485064,-2.0337165586484516e-08,-6.799201504105392e-09,9.821398498383417e-14
11,11,PSO,2.3257006318525494e-05,501,0.9390280023822074,0.0283019444929613,-5.898991893930643e-06,-2.483225048607444e-11,-2.591594576181169e-12
12,12,PSO,6.046663758039959e-05,501,1.569419540285046,0.023686165687986,4.324887203685411e-06,-8.061151189524704e-09,-8.801271103131005e-13
