iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1
0,0,PSO,3.563603996554693e-08,501,1.233168907336688e-05,8.109100479031634
1,1,PSO,2.915607584788351e-08,501,8.170095405464707,1.2239762135659732e-05
2,2,PSO,1.0383991020348101e-08,501,1.9018698757284702e-06,52.5798336794637
3,3,PSO,1.0644026149055365e-08,501,3.165743756873557e-06,31.588124350078456
4,4,PSO,1.0402940039616386,501,-0.009948091876858623,-0.009948091888894998
5,5,PSO,1.043285281350269e-08,501,46.71771155572512,2.1405166835870147e-06
6,6,PSO,2.8924640758358456e-09,501,9.771200474597736,1.0234240310935682e-05
7,7,PSO,9.093624406857932e-09,501,8.931621202196829e-06,11.196236455618056
8,8,PSO,5.5430983859576716e-11,459,1.1061264360710744e-05,9.040556455680834
9,9,PSO,1.0290254481886874e-08,501,69.40142774664967,1.4408925419731633e-06
10,10,PSO,1.0354356503953118e-08,501,1.756358458206494e-06,56.935986701685366
11,11,PSO,4.709002384548598e-10,501,1.0943761877579854e-05,9.137429851285559
12,12,PSO,1.0370177829067851e-08,501,54.52438631998862,1.8340418765076415e-06
13,13,PSO,1.0402940039616384,501,-0.009948092226245944,-0.00994809161529059
14,14,PSO,1.0592868075338312e-08,501,2.921637218921093e-06,34.22738179299226
15,15,PSO,1.0319226231419743e-08,501,1.5830348187998318e-06,63.16978320327842
16,16,PSO,1.0200999898994605e-08,501,1e-06,99.9999999999311
17,17,PSO,1.0402940039616386,501,-0.009948091450110563,-0.009948092383618703
18,18,PSO,1.744932971418711e-08,501,1.2022256206955072e-05,8.317923249452448
19,19,PSO,3.686104807701561e-10,501,8.945092207155565,1.1179318428845276e-05
20,20,PSO,1.0565592531041876,501,-1.0000000000000002e-06,2.2907710212346823
21,21,PSO,1.0949139669880886e-08,501,4.533429484012342e-06,22.058252311811447
22,22,PSO,1.0271139580642286e-08,501,1.3466300645697848e-06,74.25944546478252
23,23,PSO,4.270128422638675e-10,501,1.1060830153692729e-05,9.041087216329379
24,24,PSO,1.9743956866921104e-10,501,9.032785174546815,1.1070657454897084e-05
25,25,PSO,1.0705884234386955e-08,501,28.824686392703846,3.469248454128704e-06
26,26,PSO,6.602146970287098e-10,501,1.1229820797692243e-05,8.904792842585467
27,27,PSO,1.0565592531041876,501,-1e-06,2.2907710153675316
28,28,PSO,1.574667681945946e-09,501,1.0490710513802564e-05,9.532134046223876
29,29,PSO,1.0402940039616384,501,-0.009948092144417702,-0.009948091646802099
30,30,PSO,1.5828976127590587e-09,501,9.557383833429999,1.0463113711042924e-05
31,31,PSO,8.08649390636676e-11,370,1.1076669142523082e-05,9.027994573170863
32,32,PSO,6.898272440968943e-11,473,9.05869891624818,1.1039042625581034e-05
33,33,PSO,3.018974196252532e-10,501,8.961233962848592,1.1159144914857565e-05
34,34,PSO,3.549196529074565e-11,101,1.0919811173500298e-05,9.157646744341555
35,35,PSO,8.658528854566967e-11,379,9.04014041320658,1.1061714048616021e-05
36,36,PSO,1.0402940039616384,501,-0.009948092131451352,-0.00994809168936595
37,37,PSO,1.0402940039616386,501,-0.009948091486314719,-0.0099480923481067
38,38,PSO,1.0459562971282802e-08,501,2.272006957718084e-06,44.01394929750601
39,39,PSO,1.3371713421119773e-11,411,1.0953428137909846e-05,9.129537844863917
40,40,PSO,1.0402940039616386,501,-0.009948090922681571,-0.009948092897057604
41,41,PSO,6.5464773653816405e-09,501,9.711771445898684e-06,10.297069056821197
42,42,PSO,1.0200999898994605e-08,501,1e-06,99.99999999994769
43,43,PSO,3.9470741052737336e-10,501,8.944370299716773,1.1180270083243674e-05
44,44,PSO,1.0565592531041876,501,-1.0000000000000002e-06,2.2907710286852327
45,45,PSO,4.3842108041240236e-11,291,9.116819769569286,1.0968665689164429e-05
46,46,PSO,3.5722502798097233e-10,501,1.1176363134444108e-05,8.94744945870636
47,47,PSO,5.334826804727963e-10,501,9.34173229581155,1.0704673281521719e-05
48,48,PSO,1.0517106796473263e-08,501,39.181303143050975,2.5522386996408137e-06
49,49,PSO,1.0200999898994605e-08,501,99.99999999991854,1e-06
50,50,PSO,1.0565592531041876,501,2.2907710433856305,-1e-06
