iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1
0,0,PSO,1.034412758730737e-08,501,58.6137128323231,1.7060854195407206e-06
1,1,PSO,1.1317309522817096e-08,501,6.755334266361317e-06,14.803116494092725
2,2,PSO,1.0502472900667004e-08,501,40.29696366918963,2.4815765480750032e-06
3,3,PSO,1.0200999898994605e-08,501,1.0000000000001535e-06,100.0
4,4,PSO,1.0332818558728856e-08,501,1.6504731553248315e-06,60.58868687010874
5,5,PSO,3.955999686141369e-09,501,8.655677938832293,1.1553182656676742e-05
6,6,PSO,1.0073851669943406e-09,501,1.058627663134069e-05,9.446220043881466
7,7,PSO,1.0686768913706766e-08,501,2.7995813225312845e-06,35.72001646775096
8,8,PSO,7.669292406705132e-11,275,9.02941947184535,1.107490836946675e-05
9,9,PSO,1.6067403460221076e-10,501,9.223414872409993,1.0841931870010185e-05
10,10,PSO,1.0201392236890393e-08,501,99.8590954281403,1.0014107057884221e-06
11,11,PSO,2.352542520724277e-11,414,9.151141461877979,1.0927593558805009e-05
12,12,PSO,1.0489460037090759e-08,501,2.4180641255035005e-06,41.355397374403424
13,13,PSO,5.178773049273508e-10,501,1.0709030989151824e-05,9.337896093775926
14,14,PSO,1.088695703470742e-08,501,23.03782488999785,4.340687662765681e-06
15,15,PSO,1.1273037949034486e-08,501,6.296039007021607e-06,15.883018417012096
16,16,PSO,1.0314080394760343e-08,501,64.1742122963724,1.5582583603353657e-06
17,17,PSO,1.1217222168981032e-08,501,5.963589380457265e-06,16.768425281058384
18,18,PSO,2.453888036237112e-10,501,1.0798873958771183e-05,9.260224872862976
19,19,PSO,1.0201007029195825e-08,501,1.0000245452336368e-06,99.99755019730289
20,20,PSO,3.488946094378313e-09,501,9.844136344078716,1.0158484995806353e-05
21,21,PSO,3.6332220718453575e-09,501,9.897142316381363,1.0103849096720155e-05
22,22,PSO,1.0200999898994605e-08,501,99.9999999999703,1.000000000000002e-06
23,23,PSO,1.0350437322858314e-08,501,1.736988187779456e-06,57.570906689295704
24,24,PSO,1.0486295660179678e-08,501,41.62349091277965,2.402489892821346e-06
25,25,PSO,9.7990097502852e-11,52,1.090933533469853e-05,9.166392190440597
26,26,PSO,1.0293193465007084e-08,501,1.4553772207958252e-06,68.7107092468116
27,27,PSO,1.0491773826167163e-08,501,8.302078291790177e-06,12.045174644374987
28,28,PSO,1.0200999898994605e-08,501,1.000000000000274e-06,99.99999999999626
29,29,PSO,1.0818526952773229e-08,501,4.0109420311727444e-06,24.93178626374891
30,30,PSO,6.541766674228733e-11,146,1.0936349901335758e-05,9.143754621363557
31,31,PSO,1.024291273407817e-08,501,82.83104678753631,1.2072767832950102e-06
32,32,PSO,1.091356672055153e-08,501,22.38037815019182,4.468199466758208e-06
33,33,PSO,1.0507304745085002e-08,501,2.5051394625899273e-06,39.917938982244664
34,34,PSO,1.925903578263985e-11,442,9.146948001685931,1.093260765618592e-05
35,35,PSO,1.021084966433028e-08,501,1.0487494018624324e-06,95.35166386500585
36,36,PSO,1.1434182526314202e-09,501,9.474236886087084,1.055491769816464e-05
37,37,PSO,1.0542120821932912e-08,501,37.385496826375096,2.674834044333661e-06
38,38,PSO,1.0200999898994605e-08,501,1.00000000000018e-06,99.99999999993139
39,39,PSO,1.0537427397718819e-08,501,2.651975634474381e-06,37.70773693232747
40,40,PSO,4.923162542715055e-10,501,8.994189928641566,1.1118088841913819e-05
41,41,PSO,1.108578254684555e-08,501,12.743895796826617,7.846825558181755e-06
42,42,PSO,1.020729486527064e-08,501,96.97851061808848,1.0311562988064612e-06
43,43,PSO,1.0583788088182747e-08,501,2.877502653301681e-06,34.75236036493754
44,44,PSO,1.0652649535548363e-08,501,3.211678173751678e-06,31.136370322414027
45,45,PSO,1.0510152032597186e-08,501,2.5190311139402147e-06,39.69780385671117
46,46,PSO,5.675701364217942e-10,501,9.35105883608272,1.0693971955228467e-05
47,47,PSO,8.466830181199544e-09,501,10.976471226951412,9.110404189680456e-06
48,48,PSO,1.0202179549536964e-08,501,1.0058382387420934e-06,99.41956654780336
49,49,PSO,1.1262160672900236e-08,501,16.073414748388682,6.22146063048943e-06
50,50,PSO,1.427102491703109e-10,501,1.0847089023558993e-05,9.219041635432312
51,51,PSO,9.988127586621534e-11,471,1.1087593726310872e-05,9.019092514480763
52,52,PSO,1.053989438541119e-08,501,8.294689359113332e-06,12.055833338158317
53,53,PSO,1.06629559425428e-08,501,30.659860293001522,3.261593527296745e-06
54,54,PSO,1.0248054626378189e-08,501,81.1242906643123,1.2326764203906896e-06
55,55,PSO,2.772160597927726e-11,488,9.08886706461465,1.1002417438877961e-05
56,56,PSO,4.180717931922287e-09,501,9.99643612926702,1.000351219021652e-05
57,57,PSO,1.1090788660753084e-08,501,18.798271712679593,5.3196374525012315e-06
58,58,PSO,1.0492745828116235e-08,501,2.434107765768101e-06,41.08281535215261
59,59,PSO,2.991148689144035e-11,81,9.127201303277959,1.0956206603708118e-05
60,60,PSO,4.348786886450496e-11,67,9.131576830353946,1.0951076791230258e-05
61,61,PSO,5.592161075346946e-09,501,9.745580431653439e-06,10.26105349816592
62,62,PSO,1.0980556819313392e-08,501,8.070064792628078e-06,12.391641337615066
63,63,PSO,1.0688640717681406e-08,501,3.385865992778372e-06,29.534539582091885
64,64,PSO,3.906492414087736e-09,501,9.953658046738889,1.0046568238198494e-05
65,65,PSO,1.0233225265994071e-08,501,86.25421907181475,1.159363684672981e-06
66,66,PSO,5.40440366159523e-11,428,1.098919035155252e-05,9.099784879635099
67,67,PSO,1.0700006389142297e-08,501,3.4408413695522263e-06,29.062659175230046
68,68,PSO,2.495922148775434e-09,501,9.714165558895882,1.0294275223686328e-05
69,69,PSO,1.0555165139966504e-08,501,36.533528033581845,2.737210372677865e-06
70,70,PSO,1.0585474230238736e-08,501,2.8290510425345517e-06,35.34766251410086
71,71,PSO,1.2714082252703165e-10,501,9.112734618078672,1.0973530880576185e-05
72,72,PSO,7.596604828764854e-10,501,9.39466399392056,1.064431730726088e-05
73,73,PSO,1.0910046652775914e-08,501,4.451257498946139e-06,22.465564889300264
74,74,PSO,1.0200999898994605e-08,501,1.000000000000356e-06,99.999999999964
75,75,PSO,3.3462039521833084e-09,501,8.940870424129976,1.118520150628898e-05
76,76,PSO,1.0202077006653244e-08,501,99.50484371913902,1.004975933228119e-06
77,77,PSO,3.76202076937108e-09,501,9.92879658731254,1.0071700799780612e-05
78,78,PSO,1.029672833218731e-08,501,67.89802613771546,1.4727968539702047e-06
79,79,PSO,2.771439718700054e-11,235,9.139721501879553,1.0941294199001853e-05
80,80,PSO,1.0200999898994605e-08,501,1.0000000000000307e-06,99.99999999993364
81,81,PSO,1.0620574072367967e-08,501,32.7859610684137,3.0500825564168114e-06
82,82,PSO,4.750995581802783e-10,501,9.327650987112614,1.0720818672893417e-05
83,83,PSO,1.0200999898994605e-08,501,1.0000000000001615e-06,99.9999999999999
84,84,PSO,1.0854677151602832e-08,501,4.185832775773851e-06,23.89010875492832
85,85,PSO,1.0200999898994605e-08,501,99.99999999993409,1.0000000000013457e-06
86,86,PSO,1.0305189468937913e-08,501,66.03536443021183,1.5143398386347097e-06
87,87,PSO,1.0425300215754874e-08,501,47.52045818844619,2.1043568798190924e-06
88,88,PSO,8.463797518951565e-11,445,9.17988720737501,1.0893326909837151e-05
89,89,PSO,1.0200999898994605e-08,501,1e-06,99.99999999999258
90,90,PSO,1.0200999916378515e-08,501,1.0000000859881441e-06,99.99999139538242
91,91,PSO,1.0276615613491744e-08,501,1.3736444093136914e-06,72.79904379370953
92,92,PSO,3.908553039203417e-11,41,9.158429564610667,1.0918872003857876e-05
93,93,PSO,1.042886037538001e-08,501,47.130195735580145,2.1217818733215485e-06
94,94,PSO,1.0581741306974524e-08,501,2.8675952521227063e-06,34.87242486621001
95,95,PSO,1.0295732792297548e-08,501,68.12513571561048,1.4678870283492494e-06
96,96,PSO,1.1010264702904066e-08,501,7.932764366912041e-06,12.60583823151581
97,97,PSO,5.7086047362510694e-11,210,1.0999802487143373e-05,9.091005348888459
98,98,PSO,1.0939435114647143e-08,501,21.776724028594117,4.592058433905577e-06
99,99,PSO,1.0435693496617432e-08,501,2.155174076897124e-06,46.39996975827374
100,100,PSO,8.256365033265356e-09,501,10.901928555189174,9.172647139036677e-06
101,101,PSO,1.0836657376800922e-08,501,4.099280057506506e-06,24.39452907976012
102,102,PSO,5.139103863934788e-10,501,1.1212510151626537e-05,8.9186044799914
103,103,PSO,1.0867588717708248e-08,501,4.247786812704517e-06,23.541670038401612
104,104,PSO,1.0203687825636471e-08,501,1.0133044626203464e-06,98.6870206387947
105,105,PSO,1.0823947013913209e-08,501,24.763353785730825,4.038225258934275e-06
106,106,PSO,7.291433618704615e-09,501,9.401188326398667e-06,10.63695696704099
107,107,PSO,1.092417966798314e-08,501,22.131194710091687,4.518507358636532e-06
108,108,PSO,1.0267459856528429e-08,501,1.328474873805633e-06,75.27428891462621
109,109,PSO,1.0982438123361147e-08,501,20.841896130847623,4.798027915761643e-06
110,110,PSO,1.076770135759354e-08,501,26.54248165777666,3.767545213791655e-06
111,111,PSO,5.865793046417181e-09,501,9.693852599125857e-06,10.315815570674296
112,112,PSO,1.0453777768060544e-08,501,44.5711298372965,2.243604436133441e-06
113,113,PSO,6.586790174218994e-10,501,9.356191151140694,1.0688020449342914e-05
114,114,PSO,2.5971004443048328e-08,501,11.104157748136807,9.00681487227778e-06
115,115,PSO,1.0759171492805736e-08,501,3.7263218427040665e-06,26.83611871626626
116,116,PSO,1.0200999898994605e-08,501,1.0000000000012004e-06,99.99999999981677
117,117,PSO,1.0263874892393361e-08,501,76.29018858357406,1.3107845414087844e-06
118,118,PSO,1.0201352495742769e-08,501,1.0016692712188817e-06,99.83333867079322
119,119,PSO,1.02373853491259e-08,501,84.74848633028287,1.1799621100297032e-06
120,120,PSO,1.0892030669347043e-08,501,4.365013757277507e-06,22.909435318410917
121,121,PSO,1.0436461259702626e-08,501,46.31770443866041,2.1590016664579893e-06
122,122,PSO,1.0542316931301189e-08,501,2.6757890950998332e-06,37.37215318717602
123,123,PSO,1.7950140471863725e-09,501,8.798480441694819,1.1365427665524385e-05
124,124,PSO,1.0525249916519573e-08,501,2.592640913046798e-06,38.570708721625685
125,125,PSO,1.021228552383863e-08,501,1.0529404467029692e-06,94.97220574110547
126,126,PSO,6.053771033805832e-10,501,1.0683533145369514e-05,9.360203254318149
127,127,PSO,1.0200999898994605e-08,501,99.99999999994637,1.000000000001135e-06
128,128,PSO,1.0671271070497443e-08,501,30.298302420827685,3.3005166789780327e-06
129,129,PSO,3.67699158941018e-10,501,9.298222002589826,1.075473843572959e-05
130,130,PSO,4.754383021580414e-09,501,1.1601368706343407e-05,8.619654845568343
131,131,PSO,1.0350124160313173e-10,501,1.0874816357436372e-05,9.195593602746177
132,132,PSO,1.0200999898994605e-08,501,1.0000000000001044e-06,99.99999999997203
133,133,PSO,1.0994152660642804e-08,501,4.8541464921054475e-06,20.600944183079033
134,134,PSO,1.0200999898994605e-08,501,1.0000000000004785e-06,99.99999999990516
135,135,PSO,1.2029231819384566e-11,189,1.1019179137746318e-05,9.075087815791873
136,136,PSO,1.0956101962169737e-08,501,8.026123295236423e-06,12.459184475653267
137,137,PSO,1.6315671078191174e-10,501,8.996563714945395,1.11153420224697e-05
138,138,PSO,1.078274387688276e-08,501,8.09014651351639e-06,12.36068291272732
139,139,PSO,8.038112944907258e-09,501,9.2250564806233e-06,10.84001697463424
140,140,PSO,1.0236832500090673e-08,501,84.94568972678545,1.1772228236118814e-06
141,141,PSO,1.1106150041002961e-08,501,18.53708309575125,5.394591468038729e-06
142,142,PSO,6.15086980731037e-10,501,8.902655745805859,1.1232596992340952e-05
143,143,PSO,1.0797600284556306e-08,501,3.909899904176359e-06,25.576117147066064
144,144,PSO,9.730283156173938e-11,128,1.0887315900531719e-05,9.185048904875798
145,145,PSO,1.1103545762760273e-08,501,5.381481695073735e-06,18.58223747019951
146,146,PSO,6.845872223345389e-09,501,8.545394032448645,1.1702201877117671e-05
147,147,PSO,1.0247271485134702e-08,501,1.2288081843609926e-06,81.3796667653488
148,148,PSO,7.236721153558143e-11,176,9.035924602098087,1.1066968453652303e-05
149,149,PSO,1.0989531124868122e-08,501,20.71513265935264,4.82738408855781e-06
150,150,PSO,3.38819595469901e-10,501,1.1132373644362711e-05,8.982913187595699
151,151,PSO,1.0256921283414895e-08,501,78.3416469850682,1.2764602631886026e-06
152,152,PSO,1.1191145194672688e-08,501,7.546976809473659e-06,13.250332687316074
153,153,PSO,1.0657564852379803e-08,501,3.2354871520274377e-06,30.907246465955147
154,154,PSO,1.0200999898994605e-08,501,1.0000000000004315e-06,99.99999999987341
155,155,PSO,4.5538216686328314e-09,501,10.037214169509385,9.96305314379522e-06
156,156,PSO,1.0389372118964163e-08,501,1.927850462688365e-06,51.87125828826969
157,157,PSO,1.1274326708147175e-08,501,7.296384355312442e-06,13.705413208955456
158,158,PSO,1.0506961231138817e-08,501,39.94451944933434,2.503472336327136e-06
159,159,PSO,1.025077793256415e-08,501,1.2403381467331768e-06,80.62308815019254
160,160,PSO,8.748044777487726e-09,501,11.062726224488914,9.039415284974855e-06
161,161,PSO,1.0253761089409794e-08,501,79.32612786137578,1.2606184203652946e-06
162,162,PSO,1.7893634223972043e-11,194,1.094019677358235e-05,9.140584933953134
163,163,PSO,6.815662836854989e-11,268,1.1067501197194191e-05,9.035480138971757
164,164,PSO,1.1099376406716065e-08,501,7.719382905526913e-06,12.954403692876545
165,165,PSO,1.0375203660221404e-08,501,1.8586244332776363e-06,53.8032395931606
166,166,PSO,1.0202721852860776e-08,501,1.0085241234596068e-06,99.15479199534512
167,167,PSO,1.0200999898994605e-08,501,99.99999999998236,1.0000000000006585e-06
168,168,PSO,3.2154348680306284e-10,501,1.0770504073578758e-05,9.28461347075665
169,169,PSO,1.0200999898994605e-08,501,1.0000000000010164e-06,99.99999999986237
170,170,PSO,1.0268255539731108e-08,501,75.05718257496584,1.332317702973832e-06
171,171,PSO,7.3080793276205976e-09,501,10.626729248718421,9.410304406191836e-06
172,172,PSO,1.0200999898994605e-08,501,99.99999999999994,1.000000000000499e-06
173,173,PSO,1.0200999898994605e-08,501,100.0,1.0000000000000758e-06
174,174,PSO,1.1020225562535881e-08,501,20.083667625942063,4.979170224403855e-06
175,175,PSO,1.0320835418870321e-08,501,62.83325997223293,1.591513795964645e-06
176,176,PSO,1.0200999898994605e-08,501,99.99999999992392,1.0000000000015051e-06
177,177,PSO,1.0200999898994605e-08,501,99.99999999999744,1.0000000000000103e-06
178,178,PSO,1.0348878618966131e-08,501,1.7293686435261116e-06,57.824564092590805
179,179,PSO,1.0218952132960616e-08,501,1.0888303687563503e-06,91.84167283942875
180,180,PSO,1.0206196733001589e-08,501,1.0257156931087544e-06,97.4928985311097
181,181,PSO,3.967138238795856e-11,499,9.050899961631519,1.1048634758942453e-05
182,182,PSO,1.1143715931428655e-08,501,5.5802969663518846e-06,17.920194223456985
183,183,PSO,1.0700899784599309e-08,501,3.4451595780242156e-06,29.02623151410025
184,184,PSO,1.0216781224084457e-08,501,92.89049613391532,1.076537000959811e-06
185,185,PSO,1.0964356987693956e-08,501,21.224943146987076,4.71143768176436e-06
186,186,PSO,1.0251034701783583e-08,501,80.16719274538512,1.247393081480226e-06
187,187,PSO,1.024882706651641e-08,501,1.2364864783207729e-06,80.87432006553948
188,188,PSO,1.130690789153756e-08,501,7.104096045414528e-06,14.076389501214477
189,189,PSO,1.0208662414128434e-08,501,1.0379261491103893e-06,96.34596828365184
190,190,PSO,1.0257704132802674e-08,501,78.31203303741121,1.2769419121997975e-06
191,191,PSO,1.0200999898994605e-08,501,1.0000000000007403e-06,99.99999999996068
192,192,PSO,1.0891696230646123e-08,501,22.919532855868134,4.3630895424356775e-06
193,193,PSO,1.1211675274637331e-08,501,5.933093937642987e-06,16.85461269811011
194,194,PSO,8.783387137761074e-11,344,1.0881840165093702e-05,9.189592210566442
195,195,PSO,4.9580041463819016e-11,435,9.045267150107785,1.1055489501174639e-05
196,196,PSO,1.0201558584798926e-08,501,1.0027592785288527e-06,99.72483501570676
197,197,PSO,1.0925986901060286e-08,501,22.086326555872713,4.527688510182337e-06
198,198,PSO,1.0330397526375244e-08,501,61.50775542262847,1.625813855539258e-06
199,199,PSO,1.0912730410033363e-08,501,4.4642116723527345e-06,22.40037141097788
200,200,PSO,1.0350329327933084e-08,501,57.64838584225701,1.7346550290513053e-06
201,201,PSO,1.7671750974873573e-10,501,1.0836437288916658e-05,9.228164221491015
202,202,PSO,1.0956903219661614e-08,501,21.419420533192273,4.668654695108041e-06
203,203,PSO,5.8034534496876025e-09,501,9.793843819994114,1.0211040027916868e-05
204,204,PSO,1.0200999898994605e-08,501,1.000000000000133e-06,99.99999999999827
205,205,PSO,1.0827616929444897e-08,501,24.655884557779945,4.055827258777535e-06
206,206,PSO,1.0200999898994605e-08,501,99.99999999987632,1.0000000000007506e-06
207,207,PSO,1.0425946111992105e-08,501,47.44917356020296,2.107518341241519e-06
208,208,PSO,1.0355409547583428e-08,501,56.76873065887281,1.7615331603021422e-06
209,209,PSO,1.0836959686581187e-10,501,1.1052893998896583e-05,9.047476813791388
210,210,PSO,5.775068812372374e-10,501,8.92344850231161,1.1206537702130499e-05
211,211,PSO,8.27613311623591e-09,501,10.912725891946884,9.163590321731676e-06
212,212,PSO,1.0207003535599027e-08,501,1.0297166278630573e-06,97.11409644540502
213,213,PSO,1.0228203534351462e-08,501,88.14077076176166,1.134548828195863e-06
214,214,PSO,1.0924837649421012e-08,501,22.113102769999255,4.522205638029392e-06
215,215,PSO,9.732685791787466e-11,464,1.0930053748451203e-05,9.14916558508326
216,216,PSO,1.090749347354119e-08,501,22.72343908951965,4.4007298614752175e-06
217,217,PSO,4.367317684017125e-09,501,8.636736249337778,1.1578388507171328e-05
218,218,PSO,1.0612091642588556e-08,501,3.0150102555612567e-06,33.16738251895629
219,219,PSO,1.0343838203424643e-08,501,58.66583816581715,1.7045692912934277e-06
220,220,PSO,1.0289372786136602e-08,501,69.61138400935948,1.4365466414211274e-06
221,221,PSO,1.0838935907770816e-08,501,8.033680079195234e-06,12.447584485774522
222,222,PSO,1.0399436761890037e-08,501,1.9776204040804294e-06,50.565819008478066
223,223,PSO,1.0825893753543669e-08,501,24.813017657507366,4.030150295330597e-06
224,224,PSO,1.2653699825550988e-10,501,1.1100056144153895e-05,9.008972122906748
225,225,PSO,1.0743993878632904e-08,501,3.6532461376094288e-06,27.372916362746494
226,226,PSO,1.0221762164336901e-08,501,1.1027313417928069e-06,90.68391943548528
227,227,PSO,1.0200999898994605e-08,501,99.99999999992443,1.0000000000001636e-06
228,228,PSO,1.0526970903607819e-08,501,38.45460227309847,2.6004680869611588e-06
229,229,PSO,1.0270017924218619e-08,501,74.56614049562296,1.3410913179139834e-06
230,230,PSO,1.0408320169551463e-08,501,49.47666483847926,2.0211549637418374e-06
231,231,PSO,1.0570937646652585e-08,501,2.815069223242746e-06,35.52310519399494
232,232,PSO,1.0957742892315329e-08,501,21.368555259307634,4.679773569292048e-06
233,233,PSO,4.783711812783254e-10,501,8.92466069734747,1.1204900389973429e-05
234,234,PSO,8.155446198194558e-11,169,9.068666087734018,1.1027068243411318e-05
235,235,PSO,1.0200999898994605e-08,501,1.0000000000002555e-06,100.0
236,236,PSO,1.0388687312309012e-08,501,1.9249050065913126e-06,51.950613602690076
237,237,PSO,1.0200999898994605e-08,501,99.9999999998345,1.0000000000022783e-06
238,238,PSO,1.0298790620691504e-08,501,67.50677287529311,1.4813336968275103e-06
239,239,PSO,1.0597650202841979e-08,501,2.944381477912756e-06,33.963001471873646
240,240,PSO,1.5148046854763903e-09,501,9.540925381221344,1.0481213295609719e-05
