iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1
0,0,PSO,9.654833551246692e-09,174,0.9999048339231357,0.9998072309851004
1,1,PSO,2.9608993697213178e-09,126,0.999967281574011,0.9999389120961267
2,2,PSO,6.717903715098495e-09,163,1.0000550782616908,1.0001040897227285
3,3,PSO,9.52231632957848e-09,197,1.00004733682069,1.0000861426871277
4,4,PSO,9.003109461383754e-09,197,1.0000735477681797,1.0001530958061466
5,5,PSO,2.0627010651915407e-09,104,0.9999979485640433,1.0000004341937623
6,6,PSO,9.53612544347233e-09,223,1.0000055542404702,1.0000013590113637
7,7,PSO,9.052962643176583e-09,170,0.9999285184206622,0.9998507623438999
8,8,PSO,5.7612308101525735e-09,180,0.9999274814230157,0.999857209280565
9,9,PSO,3.6431070988350916e-09,128,0.9999706493273924,0.9999465736466172
10,10,PSO,5.420074564904795e-09,130,0.9999978829760088,1.000003125027619
11,11,PSO,6.361090658014158e-09,175,1.0000796623996404,1.0001597183499957
12,12,PSO,4.862436472434102e-09,168,1.000055990149873,1.000107827066529
13,13,PSO,2.0156843360152312e-09,119,0.9999950415445017,0.9999856209414112
14,14,PSO,0.7716301679143795,501,0.1610677845105079,-0.00010000000000000102
15,15,PSO,3.779710462847598e-09,143,1.0000610022788123,1.0001227726900652
16,16,PSO,1.2937275382465043e-09,152,1.0000289542305443,1.000055775335819
17,17,PSO,2.1173646439025602e-10,140,0.9999874506034739,0.9999741648244755
18,18,PSO,5.01558682019346e-09,208,0.9999394263756439,0.9998751870569477
19,19,PSO,4.079993161064956e-09,122,0.999936549566774,0.9998738382491905
20,20,PSO,2.402422349094894e-10,160,1.000015289037254,1.0000308330154426
21,21,PSO,2.1184195267145238e-09,92,1.000017744424458,1.000031242335638
22,22,PSO,1.6328561181235254e-10,88,0.9999967236520931,0.9999922121989091
23,23,PSO,3.750916913404919e-09,149,1.000060148985653,1.0001191482616802
24,24,PSO,7.1394141626397225e-09,218,1.0000497873405332,1.0000927502755743
25,25,PSO,8.012994084301879e-09,209,1.0000813510954876,1.0001664437699493
26,26,PSO,1.690626677158427e-09,208,1.0000293104206426,1.000055738081273
27,27,PSO,7.218147565464775e-09,287,1.0000844736112724,1.000168046853162
28,28,PSO,3.5256739130423378e-09,251,1.0000522455137153,1.0001073152463644
29,29,PSO,8.113143519815183e-10,152,1.000028431967292,1.0000570361368897
30,30,PSO,2.054416568524095e-09,150,1.000014458327932,1.0000332126457698
31,31,PSO,6.334448729957592e-09,206,1.0000421128587529,1.0000909809759195
32,32,PSO,1.3589651562532117e-09,204,0.999980668187121,0.9999644756110784
33,33,PSO,2.0322077944011814e-09,133,0.9999568480635688,0.9999123936956381
34,34,PSO,8.154867754625528e-10,137,0.9999716070195033,0.9999435202209033
35,35,PSO,3.4549196097224714e-09,121,1.0000090869553984,1.000023981184473
36,36,PSO,8.2325313771968e-09,155,0.9999608663055676,0.999913548126861
37,37,PSO,5.442041779860495e-09,187,0.9999366649572633,0.9998771164040648
38,38,PSO,5.025210775856573e-09,133,1.0000085952812447,1.000024227206496
39,39,PSO,6.059034782589547e-09,152,1.0000706775123793,1.0001380985418364
40,40,PSO,8.807554431856024e-09,264,0.9999752146274251,0.9999413782175266
41,41,PSO,5.070468268875133e-09,192,0.999951469500664,0.9998977305419149
42,42,PSO,5.941054835487924e-09,146,1.0000499257175526,1.0000939815537482
43,43,PSO,1.02331808708942e-09,94,0.9999770603585977,0.9999563507970537
44,44,PSO,2.0210698450705043e-09,93,0.9999550451464863,0.9999100561212839
45,45,PSO,4.719212303604819e-10,164,1.000014999098719,1.0000284269636366
46,46,PSO,6.431584021869278e-09,153,1.0000734436836598,1.0001436715668692
47,47,PSO,3.7854436251277655e-09,146,0.9999628862553668,0.9999306810396636
48,48,PSO,4.252776684648879e-09,155,0.9999776770598977,0.999961481985431
49,49,PSO,5.371396949695861e-10,166,1.0000104876000109,1.0000189085494038
50,50,PSO,8.365276941735373e-09,128,0.9999097585696,0.9998210144475188
51,51,PSO,3.114047410902041e-10,93,1.000013358564125,1.0000255642520384
52,52,PSO,1.1267950170982182e-09,180,0.9999754529575408,0.9999486168938191
53,53,PSO,7.903057226847144e-09,219,1.0000455855269375,1.0000835409520425
54,54,PSO,5.127820668305521e-09,163,1.0000637516066637,1.0001307684941103
55,55,PSO,8.531105583629433e-09,154,0.999930946792923,0.9998680324883407
56,56,PSO,7.812367793479503e-09,146,1.000087730501385,1.0001743929349378
57,57,PSO,3.446591969580405e-09,151,0.9999528958295145,0.9999092978599844
58,58,PSO,7.390897718422297e-09,190,1.0000261339607364,1.0000604587899335
59,59,PSO,9.9183566939264e-10,229,1.000028419586437,1.0000554829146822
60,60,PSO,7.0121721387163e-09,152,0.9999460565035379,0.9998985208145776
61,61,PSO,5.805168307061512e-09,153,1.00007533603632,1.000151816387428
62,62,PSO,6.1500683103052956e-09,234,1.0000637839300193,1.0001321344700242
63,63,PSO,3.381046496104891e-09,170,0.999942113908308,0.9998847811390943
64,64,PSO,5.8807874120412185e-09,111,1.0000708065827266,1.0001445630308972
65,65,PSO,8.956751831272037e-09,131,0.9999063535910937,0.9998140838039135
66,66,PSO,2.192805863022662e-09,114,1.0000120844523157,1.0000286931769626
67,67,PSO,5.3653296636604945e-09,146,0.9999515627980211,0.9998976332473741
68,68,PSO,9.458698850278217e-09,220,1.0000838376076364,1.000162752787256
69,69,PSO,3.5739421458430287e-11,196,1.0000006997299091,1.000000805744892
70,70,PSO,7.927939790470001e-09,172,1.000002948509713,1.0000147960427175
71,71,PSO,9.48190742439411e-09,144,0.999978776336528,0.9999670565247506
72,72,PSO,2.5946553361863336e-09,152,1.0000488228783182,1.0000991006618722
73,73,PSO,9.583914499967031e-09,118,0.9999137341000155,0.999832103934178
74,74,PSO,5.4798416377710165e-09,167,0.9999579580284491,0.9999220107008119
75,75,PSO,3.612464822511874e-09,158,1.0000599844119469,1.0001203510398504
76,76,PSO,2.1298904788300366e-09,157,0.9999662721459531,0.9999293953146507
77,77,PSO,5.826602810222386e-09,154,1.000047172509502,1.0000883461133914
78,78,PSO,7.808321588727493e-09,164,0.9999118175714039,0.9998230756370466
79,79,PSO,8.958223485843719e-10,191,1.0000299302408442,1.0000598558715172
80,80,PSO,5.965999935286541e-09,116,1.0000201000837614,1.0000476584442677
81,81,PSO,3.885815838579585e-09,195,0.9999471429032102,0.9998909841439724
82,82,PSO,8.251233999282484e-09,210,0.999972272298824,0.9999531954581417
83,83,PSO,2.706575097455858e-09,168,1.0000382092207019,1.000079950666918
84,84,PSO,4.846497441109393e-09,153,0.9999352398343713,0.9998730385023004
85,85,PSO,8.279717728218095e-09,165,1.000010050392765,1.0000291445071279
86,86,PSO,5.038800342923544e-09,178,1.0000083122323866,1.0000236741488457
87,87,PSO,7.600146767331604e-09,180,0.9999323990861224,0.9998592979594713
88,88,PSO,4.020063940633077e-09,143,0.9999418927503733,0.9998812519272952
89,89,PSO,5.818496464514379e-09,175,1.0000636584696319,1.0001315234858152
90,90,PSO,1.3474425519740482e-09,129,0.9999693499098254,0.9999407206960191
91,91,PSO,1.6822797173540265e-09,124,0.9999920776439591,0.9999881796717329
92,92,PSO,9.931130928336563e-09,170,0.9999952369729144,1.0000004280855033
93,93,PSO,8.002715698273174e-09,180,0.9999106122646444,0.9998215867576
94,94,PSO,3.996545021925804e-09,66,0.9999626046995519,0.9999201136056125
95,95,PSO,3.276164703743453e-09,97,0.9999433479475182,0.9998858823447143
96,96,PSO,2.0843764122330183e-10,102,0.9999887240209403,0.9999765465597035
97,97,PSO,1.389395808107121e-09,114,0.9999654835731466,0.9999295611700062
98,98,PSO,4.329869806208356e-09,115,1.0000073902858595,1.0000213191685896
99,99,PSO,6.343738352746096e-09,123,0.9999458138069443,0.9998857930892529
100,100,PSO,6.140600373226973e-09,101,0.9999346088238342,0.9998649038286628
101,101,PSO,3.938919776153252e-09,149,1.000015285966745,1.000024485083287
102,102,PSO,7.436137824625834e-09,182,0.999913769037815,0.9998274855960285
103,103,PSO,4.915661991400985e-09,225,1.000006252141065,1.000019487567401
104,104,PSO,8.25817555421487e-09,178,1.0000888486617812,1.0001757971011571
105,105,PSO,7.129712938674478e-09,122,0.9999844489362891,0.9999771974380948
106,106,PSO,6.532678933630012e-09,151,1.0000765927797448,1.000150610292424
107,107,PSO,1.5036474459697857e-09,199,1.0000176049015468,1.0000317550950992
108,108,PSO,6.830976570775342e-10,191,1.0000069432425114,1.0000164062336907
109,109,PSO,6.652296233698861e-09,235,1.0000795863908603,1.0001609632194766
110,110,PSO,3.9676656961152154e-10,144,1.0000165572553872,1.0000320074283184
111,111,PSO,6.169596643585021e-09,163,0.9999227104455004,0.9998440271453869
112,112,PSO,1.8060039098553609e-09,124,0.9999575073760847,0.999914954846963
113,113,PSO,5.046031397122856e-10,136,1.0000223320162949,1.0000449071047597
114,114,PSO,4.873725998907643e-09,257,1.0000490216591176,1.0001030162373639
115,115,PSO,2.7585852969307003e-09,188,0.9999482286346332,0.9998973448847076
116,116,PSO,4.217446009949621e-09,151,0.9999454810854703,0.9998874364976649
