iteration,seed,algorithm,final_objective_value,n_iter_opt,x0,x1
0,0,PSO,5.397473014058322e-09,173,1.0000734244826244,1.000146602992814
1,1,PSO,9.799553154749415e-09,196,1.0000872533734275,1.00017919025776
2,2,PSO,6.888533733791484e-09,190,0.9999856410487179,0.9999794568704246
3,3,PSO,4.91247328656732e-09,170,1.0000650080845457,1.0001326403612305
4,4,PSO,2.2616962666515963e-09,203,0.9999939056348259,0.9999925278256151
5,5,PSO,7.605031499335979e-09,142,1.0000831981696063,1.000163789650478
6,6,PSO,4.498966459625008e-09,151,1.0000609729920515,1.0001191545976964
7,7,PSO,7.3697323679315476e-09,195,0.9999361568184563,0.9998665785661174
8,8,PSO,7.382842155012836e-10,163,1.000003560011198,1.0000044263191683
9,9,PSO,8.500773605143857e-09,197,1.0000791755551637,1.0001536329690062
10,10,PSO,5.17737328889426e-09,182,0.9999343578787881,0.9998716670737797
11,11,PSO,9.104390889172337e-09,180,1.0000726468930823,1.000151485193232
12,12,PSO,7.34532717812966e-09,197,0.9999317029571503,0.9998685882627438
13,13,PSO,3.758506309763279e-09,199,1.0000542265547159,1.0001055960026202
14,14,PSO,5.412140559868888e-09,234,0.9999625721435925,0.9999314791674244
15,15,PSO,4.227711907313609e-09,171,1.000059615346608,1.0001218298634253
16,16,PSO,6.381555499757878e-09,173,1.0000012461800476,1.0000104798534541
17,17,PSO,7.325536836423965e-09,198,0.9999610252013894,0.9999144318811907
18,18,PSO,1.9739650571706943e-09,164,1.0000432977296545,1.0000875936856668
19,19,PSO,7.161376546383695e-09,193,0.999930396490304,0.9998559845851999
20,20,PSO,6.672899854654443e-09,171,1.0000535117091225,1.0001131983128897
21,21,PSO,4.325391823231488e-09,137,1.0000611629670348,1.0001247472838934
22,22,PSO,1.0530320082407494e-10,219,1.0000102492227336,1.0000205492095882
23,23,PSO,4.644286313846016e-09,154,1.0000679154353427,1.0001363992203296
24,24,PSO,7.750649923190282e-09,127,0.9999575599072638,0.9999074083229733
25,25,PSO,9.871204392673931e-09,183,0.9999009385202088,0.999801125095009
26,26,PSO,4.34200239197455e-09,164,1.0000207989490313,1.0000353458062796
27,27,PSO,8.395825804576437e-09,184,0.9999103292869063,0.999818782499425
28,28,PSO,8.62374268050799e-09,157,0.9999138996654072,0.9998243275558671
29,29,PSO,4.4426916650053316e-09,184,0.9999918552322188,0.9999903259328207
30,30,PSO,3.70338460623612e-09,208,1.0000189108244932,1.0000320377475147
31,31,PSO,8.578308777695897e-09,187,1.0000491895847217,1.0001062293234657
32,32,PSO,6.896667954279011e-09,189,0.9999171192349552,0.9998347692354941
33,33,PSO,4.269445935782197e-10,108,0.9999993384639493,0.9999966117238339
