iteration,seed,final_objective_value,n_iter_opt,x0,x1,x2,x3
0,0,2.918009186890974e-11,103,999999.9999965745,2.0000041768356495e-06,0.327892068410211,-0.03748299509397881
1,1,4.040100000004039,501,999999.9999999509,1e-08,0.3970778782250044,0.9785741331621054
2,2,6.874343735527694e-12,108,1000000.0000025502,2.000000608972809e-06,0.6918642113690598,-0.7051208691485278
3,3,3.128190014901826e-11,93,1000000.000003763,2.0000041378257775e-06,0.4394494847902273,-0.13786641107389838
4,4,2.0420674211724746e-14,116,999999.9999999222,2.0000001198884842e-06,0.5062980734126465,-0.9217143621882837
5,5,2.950117169932894e-11,112,1000000.0000010042,2.0000053378586997e-06,0.28211020975827833,-0.18660120529217505
6,6,5.48699432503504e-11,115,1000000.0000072765,2.000001386316352e-06,0.7377285786791514,-0.6453208799912287
7,7,8.358277744739703e-11,105,999999.9999950795,1.999992294739092e-06,0.9835901873601329,-0.06558468135244008
8,8,5.247492756819593e-11,113,999999.9999927563,1.9999999401417413e-06,0.38951970611642506,-0.0016091198078617356
9,9,4.817702993340708e-11,109,1000000.0000011105,1.9999931484394657e-06,0.946294922720473,-0.37959895259954196
10,10,9.035294032102349e-11,102,999999.9999915169,2.0000042884311446e-06,0.3272972106807083,-0.016562278234774703
11,11,6.343746908650936e-11,102,999999.9999977442,2.0000076386514512e-06,0.47156995275632596,-0.4853425855083453
12,12,1.9434116322478383e-12,117,999999.9999988098,2.0000007257871857e-06,0.9880751273562247,-0.11931110131314292
13,13,4.040100000004039,501,999999.9999999795,1.0000000000000061e-08,0.3596249383473617,0.9729152656512081
14,14,5.410771652364358e-11,357,999999.9999999284,1.9999926445538197e-06,0.9502519127216704,-0.07288367166642543
15,15,6.090784335463911e-11,167,1000000.0000006299,2.0000077788829776e-06,0.30900105371126,-0.5637707310636209
16,16,7.678445394423397e-11,107,1000000.0000035973,2.0000079902073163e-06,0.3586912400926015,-0.03643057288470762
17,17,8.062427509356307e-11,106,999999.999994239,1.9999931127308365e-06,0.3637507278058381,-0.5410024600972356
18,18,5.592296552630646e-11,137,1000000.0000068286,1.999996951454067e-06,0.9934576594533939,-0.5134425936779978
19,19,9.549928020649233e-11,113,999999.999995646,2.0000087488105448e-06,0.11731920309812476,-0.35565460110945796
20,20,1.2768389541036069e-11,112,1000000.0000035401,1.999999513917819e-06,0.9557675895873988,-0.2732148737480716
21,21,1.3744286129435645e-11,142,1000000.0000002045,2.000003701681481e-06,0.2671067809552933,-0.2677930645581478
22,22,4.397095345378797e-11,116,1000000.0000046914,1.999995313678427e-06,0.4301468979668325,-0.39296791971590245
23,23,2.4615291136494157e-12,107,999999.9999986768,1.999999156952863e-06,0.48991285966480597,-0.24818424318414725
24,24,2.238766756209177e-11,113,999999.9999954497,2.0000012970070688e-06,0.3259297358864056,-0.6062168181273124
25,25,4.040100000004039,501,999999.9999999754,1.0000000000000061e-08,0.5386194484129339,0.778335915517009
26,26,4.735435150834408e-11,107,999999.9999942165,1.9999962710268916e-06,0.624793286963065,-0.1292366365252801
27,27,2.0190069321134602e-11,99,1000000.0000016177,2.0000041920240035e-06,0.15981893133544464,-0.3802576622798832
28,28,9.636059695361972e-11,120,1000000.0000036096,2.000009128605837e-06,0.569989892175911,-0.13894903141447654
29,29,8.77697385939218e-11,105,999999.9999937256,2.0000069571084906e-06,0.525371507937427,-0.8525350137447417
30,30,1.354209230590903e-11,103,999999.999998051,2.00000312144469e-06,0.2831551473170029,-0.9767391991617602
31,31,6.053014003755236e-12,154,999999.9999996667,2.000002437607499e-06,0.5720780918677538,-0.27341892305759574
32,32,8.014398537857196e-11,116,999999.9999942225,2.0000068385015963e-06,0.2895073419286799,-0.5250835086201455
33,33,4.040100000004039,501,999999.9999999919,1.0000000000000042e-08,0.48505272608739025,0.9080727480519196
34,34,9.901728598802272e-11,121,1000000.0000084668,1.999994772068305e-06,0.9972814669317981,-0.9638183968949912
35,35,8.967588195236888e-11,108,1000000.0000092235,2.0000021455564705e-06,0.5782447674254199,-0.26012850216782096
36,36,7.122258275446532e-11,107,999999.999991838,1.9999978542235946e-06,0.05666384672677191,-0.422101982072622
37,37,4.3696846858546626e-11,112,999999.9999997525,2.0000066057246126e-06,0.15298977803928748,-0.25125772464113644
38,38,4.040100000004039,501,999999.9999999919,1.0000000000000042e-08,0.47016891737060257,0.40224940629708056
39,39,5.910586798623583e-12,165,999999.9999981533,2.0000015812373124e-06,0.435823929944348,-0.48430267399393623
40,40,3.750507802559388e-11,124,1000000.0000039634,1.9999953312814957e-06,0.5374085885180224,-0.2306880498572642
41,41,4.040100000004039,501,999999.9999999979,1e-08,0.9555326707367321,0.9017776433677845
42,42,8.39846269628239e-12,87,999999.9999998405,1.999997106382176e-06,0.1929580898995293,-0.28278367103301516
43,43,4.8029015576483186e-11,106,999999.999995327,1.9999948822139044e-06,0.7671874742206557,-0.27874732370212835
44,44,9.401273642720325e-11,105,999999.9999909116,2.0000033783635238e-06,0.5017589983304291,-0.338073992830704
45,45,2.279894933000149e-11,157,1000000.0000018406,1.999995594206497e-06,0.9734942160462121,-0.13566450003098285
46,46,2.342200917827771e-11,155,999999.9999969119,2.000003726310436e-06,0.4878930385601331,-0.4494493981256098
47,47,1.2689049053117174e-11,110,999999.9999966399,2.0000011827187428e-06,0.5930724864240126,-0.3233392551581107
48,48,1.586368492438097e-11,103,999999.999997051,2.0000026771106193e-06,0.5626981679148051,-0.5064725667654634
49,49,1.2555281113419777e-11,124,1000000.0000009756,2.000003406398352e-06,0.5047397645662826,-0.6451637660180901
50,50,8.303413570190152e-11,107,999999.9999972207,1.999991321893403e-06,0.4657448735620411,-0.4685730519376811
51,51,4.040100000004039,501,999999.9999999754,1.0000000000000142e-08,0.9962095816770097,0.3761601856432923
52,52,3.5532845079506436e-11,83,999999.9999940487,1.999999660514872e-06,0.9996132385235835,-0.9723164444556397
53,53,4.040100000004039,501,999999.9999999857,1e-08,0.9097642649050007,0.9996516704670766
54,54,8.547288490022999e-11,95,1000000.000003902,2.0000083813532167e-06,0.4314579788787874,-0.2598318055500908
55,55,1.3258709693960521e-11,108,1000000.0000035749,2.000000692040902e-06,0.9536594571621488,-0.309598000708697
56,56,4.040100000004039,501,999999.9999999509,1.000000000000002e-08,0.6978679734003911,0.7860945663527238
57,57,2.9632119447950116e-11,110,1000000.0000039082,2.0000037892214136e-06,0.9978090217774638,-0.1416026872270451
58,58,4.755831129069536e-11,124,1000000.0000044276,2.0000052871886615e-06,0.9327753674720581,-0.4250969836996346
59,59,2.991137747591573e-11,98,999999.9999962064,2.0000039395226014e-06,0.9914914826013222,-0.9531901853870165
60,60,7.561185680162401e-11,109,1000000.0000052968,2.0000068960731302e-06,0.5479990313925598,-0.7871502584826274
61,61,8.116725668752917e-11,103,1000000.0000068798,2.0000058168290194e-06,0.9630818118220437,-0.08380582167560081
62,62,8.070899642946651e-11,110,1000000.0000007097,2.0000089557435546e-06,0.20547753887750383,-0.4113902368318415
63,63,1.5038572184918246e-11,119,999999.9999987504,2.0000036711149824e-06,0.49670712997757466,-0.5660399817502484
64,64,7.960574345027186e-11,130,1000000.0000070679,1.99999455478598e-06,0.6826794033842432,-0.22187410935529187
65,65,3.096098606690147e-11,161,1000000.0000020288,2.0000051812196504e-06,0.9840945207401021,-0.9689498379978844
66,66,3.013570022402156e-11,106,1000000.00000544,2.0000007364736765e-06,0.8060311432767372,-0.30204208376691966
67,67,6.539385904727332e-11,156,999999.999994562,1.999994014854531e-06,0.763320975587761,-0.38730018855731896
68,68,8.029539315602722e-11,139,1000000.0000067059,1.9999940563617025e-06,0.7082978130710923,-0.5059680350228347
69,69,8.170711439468107e-11,112,1000000.0000086814,1.9999974821030753e-06,0.3277022880402065,-0.30275048317995285
70,70,1.0306682638845546e-11,109,999999.9999967932,1.99999984746984e-06,0.13956031951040324,-0.5503266970441429
71,71,8.735772838305235e-11,111,1000000.0000011126,1.9999907199174203e-06,0.7627492539427221,-0.6725578158578546
72,72,5.83861926296074e-11,111,1000000.0000014439,2.0000075034195063e-06,0.28550479660873734,-0.327109809370779
